zip,year,fire_occurred,avg_tmax_c,avg_tmin_c,tot_prcp_mm,prev_year_fire,prev_year_acres,rolling_3yr_fire_count
85364,2020,1,23.938874807987713,10.71505568356375,241.84999999999997,0,0.0,0.0
89029,2020,1,23.938874807987713,10.71505568356375,241.84999999999997,0,0.0,0.0
89029,2022,0,23.938874807987713,10.71505568356375,241.84999999999997,0,0.0,1.0
89439,2019,1,23.938874807987713,10.71505568356375,241.84999999999997,0,0.0,0.0
89439,2023,0,23.938874807987713,10.71505568356375,241.84999999999997,0,0.0,0.0
89508,2018,0,23.938874807987713,10.71505568356375,241.84999999999997,0,0.0,0.0
89508,2019,1,23.938874807987713,10.71505568356375,241.84999999999997,0,0.0,0.0
89508,2020,1,23.938874807987713,10.71505568356375,241.84999999999997,1,2438.542,1.0
90001,2018,0,22.31929211469534,14.603904249871993,198.1,0,0.0,0.0
90002,2020,0,22.29854406130268,14.032893029291806,229.6,0,0.0,0.0
90003,2018,0,22.31929211469534,14.603904249871993,198.1,0,0.0,0.0
90003,2020,0,22.29854406130268,14.032893029291806,229.6,0,0.0,0.0
90003,2022,0,21.92905537678549,13.995900239684307,268.45,0,0.0,0.0
90003,2023,0,23.938874807987713,10.71505568356375,241.84999999999997,0,0.0,0.0
90004,2020,0,25.716350574712646,12.86877889012483,236.8,0,0.0,0.0
90004,2022,0,25.13207821300563,12.83712754030051,279.15,0,0.0,0.0
90005,2021,0,20.878252688172044,13.234925115207373,307.3,0,0.0,0.0
90005,2022,0,21.92905537678549,13.995900239684307,268.45,0,0.0,0.0
90006,2019,0,21.559566692268305,13.958907450076806,475.7,0,0.0,0.0
90007,2022,0,21.92905537678549,13.995900239684307,268.45,0,0.0,0.0
90008,2018,0,22.31929211469534,14.603904249871993,198.1,0,0.0,0.0
90008,2020,0,22.29854406130268,14.032893029291806,229.6,0,0.0,0.0
90009,2019,0,21.559566692268305,13.958907450076806,475.7,0,0.0,0.0
90009,2021,0,20.878252688172044,13.234925115207373,307.3,0,0.0,0.0
90010,2018,0,22.31929211469534,14.603904249871993,198.1,0,0.0,0.0
90011,2018,0,22.31929211469534,14.603904249871993,198.1,0,0.0,0.0
90011,2022,0,21.92905537678549,13.995900239684307,268.45,0,0.0,0.0
90012,2018,0,25.158717357910906,13.129991679467485,260.3,0,0.0,0.0
90013,2019,0,21.559566692268305,13.958907450076806,475.7,0,0.0,0.0
90013,2022,0,21.92905537678549,13.995900239684307,268.45,0,0.0,0.0
90014,2020,0,22.29854406130268,14.032893029291806,229.6,0,0.0,0.0
90014,2022,0,21.92905537678549,13.995900239684307,268.45,0,0.0,0.0
